word	Part.of.Speech	Freq.Norm
flavta	noun	0.008
flebit	noun	0.03
flegmon	noun	0.005
flit	noun	0.005
flok	noun	0.335
flor	noun	2.362
flora	noun	3.186
floransa	noun	4.838
floresan	noun	1.526
floresans	noun	0.071
flori	noun	0.21
florida	noun	10.429
florin	noun	1.379
florit	noun	0.06
florür	noun	0.457
florya	noun	13.77
floş	noun	0.06
flöre	noun	0.498
flört	noun	8.824
flu	noun	2.171
flurya	noun	0.003
flüt	noun	3.654
flütçü	noun	0.065
fm	noun	12.29
fob	noun	0.46
fobi	noun	7.673
foça	noun	4.549
fodla	noun	0.008
fodlacı	noun	0.003
fodul	adj	0.117
fodulluk	noun	0.005
fok	noun	4.726
fokstrot	noun	0.057
fokur	dup	0.707
fokurda	verb	0.547
fokurtu	noun	0.079
fokus	noun	0.444
fol	noun	0.482
folk	noun	2.318
folklor	noun	5.948
folklorcu	noun	0.057
folklorik	adj	1.559
folklorist	noun	0.005
folluk	noun	0.014
folyo	noun	2.394
fon	noun	254.997
fonda	noun	0.811
fondan	noun	1.676
fondip	adv	0.054
fondöten	adj	2.245
fonem	noun	0.12
fonetik	adj	0.531
fonetikçi	noun	0.008
fonksiyon	noun	50.619
fonksiyonalizm	noun	0.024
fonksiyonel	adj	8.87
fonograf	noun	0.054
fonografi	noun	0.016
fonoloji	noun	0.044
fonolojik	adj	0.044
font	noun	2.9
fontaine	noun	1.407
fora	ınterj	0.378
ford	noun	42.685
forest	noun	1.224
forint	noun	0.12
form	noun	111.281
forma	noun	127.889
formaldehit	noun	0.321
formalık	adj	0.005
formalist	noun	0.027
formalite	noun	4.797
formaliteci	noun	0.003
formaliteli	adj	0.003
formalizm	noun	0.03
formasyon	noun	9.273
format	noun	36.685
formatla	verb	1.02
formatlı	adj	0.003
formel	noun	1.268
formen	noun	0.242
formika	noun	0.133
formol	noun	0.044
formula	noun	41.131
formül	noun	58.909
formüle	noun	4.261
formüler	noun	0.076
fors	noun	1.053
forsa	noun	0.468
forseps	noun	0.169
forslu	adj	0.005
forsmajör	noun	0.005
fortçu	noun	0.038
forte	adv	0.248
fortepiano	adv	0.011
fortis	noun	8.1
fortissimo	adv	0.003
fortran	noun	0.283
forum	noun	111.115
forvet	noun	45.885
fos	adj	1.205
foseptik	noun	0.343
fosfat	noun	1.333
fosfatla	verb	0.014
fosfor	noun	5.221
fosforışı	noun	0.011
fosforlu	adj	0.065
fosgen	noun	0.06
fosil	noun	9.73
fosla	verb	0.052
fosur	dup	0.441
fosurda	verb	0.014
fosurtu	noun	0.011
foş	noun	0.016
foşa	noun	0.008
foşurda	verb	0.008
fota	noun	0.035
foto	noun	27.587
fotoakım	noun	0.008
fotoelektrik	noun	0.313
fotofiniş	noun	0.106
fotoğraf	noun	512.361
fotoğrafçı	noun	18.902
fotoğrafçılık	noun	0.207
fotoğrafhane	noun	0.182
fotoğrafla	verb	7.578
fotojen	adj	0.005
fotojenik	adj	0.512
fotokimya	noun	0.136
fotokopi	noun	13.806
fotokopici	noun	0.044
fotolitografi	noun	0.008
fotomekanik	adj	0.038
fotometre	noun	0.065
fotometri	noun	0.109
fotomodel	noun	1.437
fotomontaj	noun	0.914
fotomorfoz	noun	0.003
fotoroman	noun	0.876
fotosentez	noun	2.574
fotosfer	noun	0.035
fototaksi	noun	0.014
fototerapi	noun	0.144
fototropizm	noun	0.024
foya	noun	1.023
fön	noun	1.847
fötr	noun	0.375
fp	noun	37.91
fragman	noun	38.906
frak	noun	1.603
fraklı	adj	0.003
fraksiyon	noun	1.782
francala	noun	0.073
france	noun	8.173
francis	noun	4.908
francisco	noun	6.076
franco	noun	4.187
françois	noun	5.077
frank	noun	23.767
frankfurt	noun	15.46
franklık	adj	0.019
fransa	noun	310.064
fransız	noun	205.205
fransızca	noun	45.169
fransızlık	noun	0.005
fransiyum	noun	0.008
franz	noun	4.226
frapan	adj	0.476
frape	noun	0.041
frekans	noun	23.587
fren	noun	23.318
frenci	noun	0.011
frengi	noun	1.45
frenk	noun	1.437
frenkçe	noun	0.155
frenklik	noun	0.005
frenle	verb	10.026
frenleyici	adj	0.022
frenoloji	noun	0.005
frer	noun	0.041
fresk	noun	2.171
freze	noun	2.128
frezeci	noun	0.044
frezele	verb	0.212
frigo	noun	0.427
frigorifik	adj	0.046
frijidite	noun	0.005
frikik	noun	11.172
friksiyon	noun	0.046
fritöz	noun	0.245
friz	noun	0.356
fruktoz	noun	0.362
fsb	noun	1.257
fuar	noun	123.168
fuarcı	noun	0.403
fuarcılık	noun	0.637
fuat	noun	22.025
fuaye	noun	1.535
fuhuş	noun	12.706
fujer	noun	0.014
fukara	adj	3.358
fukaralık	noun	0.084
fukuyama	noun	1.521
ful	noun	1.877
fular	noun	1.056
fule	noun	0.207
fulya	noun	13.569
funda	noun	8.549
fundagiller	noun	0.024
fundalar	noun	0.005
fundalık	noun	0.054
fundamentalist	noun	0.784
fundamentalizm	noun	0.721
furgon	noun	0.027
furkan	noun	2.446
furya	noun	5.357
fut	noun	0.177
futa	noun	0.128
futbol	noun	927.633
futbolcu	noun	0.027
fuzuli	adj	1.067
fü	noun	0.226
fücceten	adv	0.008
füg	noun	0.136
fügen	noun	0.882
füme	noun	0.686
fünye	noun	1.763
fürs	noun	0.011
füru	noun	0.095
füruzan	noun	0.343
füruzende	noun	0.003
füsun	noun	5.809
füsunkar	noun	0.016
fütuhat	noun	0.297
fütuhatçı	noun	0.003
fütur	noun	1.847
fütursuz	adj	0.008
fütursuzca	adv	0.003
fütürist	noun	0.609
fütürizm	noun	0.177
fütürolog	noun	0.038
fütüroloji	noun	0.038
fütürolojik	adj	0.003
fütüvvet	noun	0.095
füze	noun	50.45
füzeatar	noun	0.03
füzen	noun	0.054
füzesavar	noun	0.487
füzyon	noun	3.295
gabardin	noun	0.18
gabari	noun	0.174
gabavet	noun	0.016
gabi	adj	0.144
gabin	noun	0.144
gabonlu	noun	0.011
gabriel	noun	3.992
gabro	noun	0.014
gabya	noun	0.008
gacır	dup	0.024
gacırda	verb	0.011
gacırtı	noun	0.027
gaco	noun	0.008
gaddar	adj	2.724
gaddarca	adj	0.356
gaddarlık	noun	0.098
gadir	noun	0.286
gadolinyum	noun	0.014
gadret	verb	0.022
gaf	noun	5.156
gaffar	noun	2.071
gafil	adj	2.25
gafilane	adv	0.008
gafillik	noun	0.003
gafir	noun	0.011
gaflet	noun	5.934
gafur	adj	0.226
gafuroğlu	noun	0.016
gaga	noun	2.666
gagala	verb	0.294
gagalı	adj	0.011
gagamsı	adj	0.003
gagavuz	noun	0.422
gagavuzca	adj	0.008
gah	adv	0.18
gahi	adv	0.06
gaile	noun	0.688
gaip	noun	1.409
gaiplik	noun	0.027
gaita	noun	0.348
gak	noun	0.316
gakla	verb	0.03
gala	noun	17.958
galaksi	noun	7.145
galat	noun	0.99
galata	noun	12.9
galatasaray	noun	383.416
galatıhis	noun	0.005
galatımeşhur	noun	0.024
gale	noun	0.648
galebe	noun	0.811
galenit	noun	0.011
galeri	noun	51.77
galerici	noun	0.463
galericilik	noun	0.014
galeta	noun	0.911
galeyan	noun	1.744
gali	noun	1.007
galiba	adv	75.607
galibe	noun	0.076
galibiyet	noun	179.422
galile	noun	0.514
galip	noun	56.406
galiz	adj	0.506
galler	noun	3.986
galon	noun	0.909
galop	noun	0.321
galoş	noun	0.77
galsame	noun	0.003
galvaniz	noun	0.746
galvanize	adj	0.057
galvanizle	verb	0.084
galvano	noun	0.133
galvanometre	noun	0.141
galvanoplasti	noun	0.008
galyum	noun	0.169
gam	noun	8.878
gama	noun	3.725
gamalı	adj	0.022
gamba	noun	0.245
gambot	noun	0.019
gamet	noun	0.239
gamlan	verb	0.038
gamlı	adj	0.019
gammaz	adj	0.103
gammazla	verb	0.327
gammazlık	noun	0.003
gamsız	adj	0.098
gamsızlık	noun	0.003
gamze	noun	19.653
gamzeli	adj	0.256
gana	noun	6.473
ganalı	noun	0.117
gang	noun	0.397
gangliyon	noun	0.076
gangster	noun	2.705
gangsterlik	noun	0.003
gani	noun	16.246
ganime	noun	0.109
ganimet	noun	1.311
ganiye	noun	0.016
ganyan	noun	1.516
gap	noun	21.59
gar	noun	8.048
garabet	noun	1.535
garaip	noun	0.046
garaj	noun	9.21
garajcı	noun	0.003
garami	adj	0.019
garanti	noun	136.596
garantile	verb	15.659
garantili	adj	0.095
garantör	noun	6.881
garaz	noun	0.22
garazkar	adj	0.014
garazkarlık	noun	0.005
garbi	adj	0.275
garcia	noun	5.213
gard	noun	1.467
gardenya	noun	0.288
gardıfren	noun	0.005
gardırop	noun	2.634
gardiyan	noun	5.123
gardiyanlık	noun	0.003
gargar	noun	0.084
gargara	noun	0.789
gariban	noun	4.454
garibanlık	noun	0.014
garibe	noun	0.354
garip	adj	58.686
gariplik	noun	0.482
garipse	verb	2.125
gark	noun	1.045
garnitür	noun	1.733
garnitürlü	adj	0.003
garnizon	noun	3.545
garoz	noun	0.003
garp	noun	0.726
garpçı	noun	0.008
garplı	adj	0.027
garson	noun	16.023
garsoniyer	noun	0.144
garsonluk	noun	0.024
gary	noun	5.254
gasbet	verb	0.302
gaseyan	noun	0.003
gasıp	adj	0.016
gasil	noun	0.03
gaslet	verb	0.011
gasp	noun	23.391
gassal	noun	0.033
gastrit	noun	1.706
gastroenterolog	noun	0.09
gastroenteroloji	noun	1.298
gastroenterolojik	adj	0.008
gastronom	noun	0.182
gastronomi	noun	2.93
gastroskop	noun	0.008
gastroskopi	noun	0.139
gastrula	noun	0.008
gaşyol	verb	0.003
gata	noun	5.227
gates	noun	11.183
gato	noun	0.057
gaultier	noun	0.58
gauss	noun	0.541
gavot	noun	0.008
gavsi	noun	0.008
gavur	noun	4.117
gavurca	adv	0.141
gavurluk	noun	0.005
gayakol	noun	0.003
gaybubet	noun	0.063
gayda	noun	2.481
gaydacı	noun	0.008
gaye	noun	15.357
gayet	adv	73.817
gayetle	adv	0.101
gayr	noun	1.246
gayret	noun	71.409
gayretkeş	adj	0.645
gayretkeşlik	noun	0.076
gayretlen	verb	0.024
gayretli	adj	0.044
gayrettepe	noun	2.571
gayrı	adj	6.214
gayri	adv	34.038
gayriahlaki	adj	0.112
gayriciddi	adj	0.321
gayriihtiyari	adv	0.147
gayriinsani	adj	0.139
gayriiradi	adj	0.003
gayrikabil	adj	0.084
gayrikanuni	adj	0.046
gayrimemnun	adj	0.044
gayrimenkul	noun	42.192
gayrimeşru	adj	2.215
gayrimuayyen	adj	0.033
gayrimuntazam	adj	0.003
gayrimümkün	adj	0.003
gayrimüslim	noun	5.265
gayrinizami	adj	0.106
gayriresmi	adj	3.121
gayrisafi	adj	5.624
gayrisıhhi	adj	0.141
gayritabii	adj	0.027
gayur	noun	0.005
gayya	noun	0.397
gayz	noun	0.084
gayzer	noun	0.218
gaz	noun	140.013
gaza	noun	1.067
gazal	noun	2.022
gazale	noun	0.035
gazanfer	noun	2.087
gazap	noun	3.847
gazel	noun	2.577
gazelhan	noun	0.158
gazelimsi	adj	0.003
gazeliyat	noun	0.003
gazete	noun	710.138
gazeteci	noun	312.5
gazetecilik	noun	36.538
gazetelik	noun	0.084
gazhane	noun	0.501
gazışıl	noun	0.005
gazi	noun	44.734
gaziantep	noun	62.232
gaziantepspor	noun	42.772
gaziemir	noun	2.207
gazilik	noun	0.03
gazino	noun	7.676
gazinocu	noun	0.033
gaziosmanpaşa	noun	10.696
gazipaşa	noun	1.412
gazla	verb	1.369
gazlı	adj	0.076
gazojen	noun	0.003
gazolin	noun	0.052
gazometre	noun	0.003
gazoz	noun	4.498
gazozcu	noun	0.038
gazölçer	noun	0.003
gazsız	adj	0.003
gazü	noun	0.375
gazve	noun	0.155
gazze	noun	30.874
gb	noun	7.891
ge	noun	18.747
gebe	adj	55.332
gebelik	noun	7.123
geber	verb	1.736
geberik	adj	0.071
gebeş	adj	0.264
gebre	noun	0.019
gebze	noun	15.016
gece	noun	531.722
gececi	noun	0.038
geceki	adj	6.443
gecekondu	noun	21.4
gecekonducu	noun	0.054
gecele	verb	2.046
geceleri	adv	22.428
geceleyin	adv	1.458
gecelik	adj	3.387
gecesefa	noun	0.024
gecik	verb	117.871
gecikmeli	adj	0.014
gecikmesiz	adj	0.068
geciktirim	noun	0.011
geç	verb	1734.726
geççe	adv	0.005
geçe	adv	0.944
geçek	noun	1.556
geçeli	adj	0.207
geçen	adj	671.327
geçende	adv	0.049
geçenek	noun	0.011
geçenlerde	adv	33.684
geçer	adj	54.151
geçerle	verb	0.887
geçerli	adj	144.418
geçerlik	noun	0.136
geçerlilik	noun	0.024
geçersiz	adj	17.446
geçersizlik	noun	0.003
geçgeç	noun	0.011
geçgeçle	verb	0.011
geçici	adj	151.851
geçicilik	noun	0.003
geçiliş	noun	0.019
geçim	noun	27.573
geçimlik	noun	0.024
geçimsiz	adj	0.008
geçimsizlik	noun	0.014
geçin	verb	28.169
geçinim	noun	0.011
geçir	verb	666.734
geçirgen	adj	1.744
geçirgenlik	noun	0.106
geçirici	noun	0.019
geçirim	noun	0.658
geçirimli	adj	0.038
geçirimlilik	noun	0.003
geçiriş	noun	0.005
geçiş	verb	10.864
geçişim	noun	0.359
geçişli	adj	0.049
geçişlilik	noun	0.008
geçiştirici	adj	0.011
geçit	noun	33.35
geçkin	adj	0.841
geçme	noun	4.631
geçmeli	adj	0.005
geçmez	adj	0.128
geçmiş	noun	266.955
ged	verb	0.324
geda	adj	0.103
gedik	noun	9.708
gedikbaş	noun	0.027
gedikli	adj	0.653
gedikoğlu	noun	0.544
gediktaş	noun	0.035
gedil	verb	0.005
gediz	noun	3.749
geğir	verb	0.615
geğirti	noun	0.114
geğrek	noun	0.003
gel	verb	3985.392
gelberi	noun	0.196
gele	noun	8.609
gelecek	noun	622.542
gelecekçi	noun	0.016
gelembe	noun	0.005
geleme	noun	0.381
gelen	adj	4.152
gelenay	noun	0.003
gelenek	noun	82.532
gelenekçi	noun	1.137
gelenekçilik	noun	0.003
gelenekli	adj	0.005
geleneksel	adj	76.391
gelener	noun	0.016
gelengül	noun	0.014
geleni	noun	41.295
gelgeç	adj	0.188
gelgel	noun	0.079
gelgelelim	conj	2.675
gelgelli	adj	0.003
gelgit	noun	2.288
gelibolu	noun	8.56
gelin	noun	78.818
gelincik	noun	4.59
gelincikgiller	noun	0.014
gelinfener	noun	0.008
gelinlik	noun	0.354
gelinlikçi	noun	0.03
gelir	noun	613.218
gelirli	adj	1.461
gelirsizlik	noun	0.003
geliş	verb	1123.932
gelişigüzel	adj	3.752
gelişim	noun	104.884
gelişimci	noun	0.193
gelişkin	adj	1.608
gelişkinlik	noun	0.022
gelişmiş	adj	0.969
gelişmişlik	noun	7.801
geliştirici	noun	0.531
geliştirim	noun	0.128
gelme	adj	2.117
gem	noun	5.844
gemerek	noun	0.21
gemi	noun	185.65
gemici	noun	4.035
gemicilik	noun	0.011
gemle	verb	0.288
gemlik	noun	1.208
gen	noun	76.973
gencal	noun	0.234
gencalp	noun	0.014
gencaslan	noun	0.003
gencay	noun	2.302
gence	noun	1.287
gencebay	noun	6.832
gencecik	adj	5.151
gencel	verb	0.114
gencer	noun	4.93
genco	noun	3.749
genç	noun	340.01
gençağa	noun	0.201
gençalp	noun	0.084
gençaslan	noun	0.229
gençay	noun	1.456
gençel	noun	0.136
gençer	noun	1.388
gençkal	noun	0.063
gençlerbirliği	noun	57.565
gençlik	noun	103.921
gençsoy	noun	0.095
gençsu	noun	0.016
gençtan	noun	0.016
gençten	adj	1.469
gençtürk	noun	0.441
gene	adv	38.911
genel	adj	1499.561
genelci	noun	0.005
geneleme	noun	0.008
genelev	noun	6.609
genelge	noun	42.081
genelkurmay	noun	99.352
genelle	verb	6.628
genelleyici	adj	0.014
genellik	noun	0.264
genellikle	adv	102.544
general	noun	57.914
generallik	noun	0.024
genetik	noun	44.97
genez	noun	0.011
geniş	adj	260.98
genişçe	adj	0.95
genişle	verb	184.469
genişlik	noun	6.217
geniz	noun	2.457
genleş	verb	2.092
genlik	noun	0.242
genom	noun	1.861
genosit	noun	0.033
gensoru	noun	10.543
genzek	adj	0.003
genzel	adj	0.003
geodezi	noun	0.005
geoit	noun	0.044
geometri	noun	8.592
geometrik	adj	5.292
george	noun	79.03
gepegenç	adj	0.071
gepgenç	adv	0.011
ger	verb	37.983
geray	noun	0.212
gercüş	noun	0.395
gerçek	noun	1356.196
gerçekçilik	noun	0.019
gerçeker	noun	0.392
gerçekle	verb	1.007
gerçekleş	verb	0.258
gerçeklik	noun	0.022
gerçekte	adv	7.95
gerçekten	adv	306.206
gerçeküst	noun	1.728
gerçeküstücü	noun	0.805
gerçeküstücülük	noun	0.035
gerçi	adv	52.031
gerdan	noun	2.005
gerdaniye	noun	0.016
gerdanlık	noun	0.147
gerdek	noun	1.796
gere	noun	3.096
gereç	noun	19.217
gerede	noun	4.261
gereğince	adv	34.362
gerek	verb	1959.178
gerekçe	noun	250.63
gerekirci	noun	0.054
gerekircilik	noun	0.003
gerekli	adj	0.027
gereklilik	noun	0.057
gerekse	verb	69.793
gereksin	verb	6.255
gereksinim	noun	40.889
gereksiz	adj	0.005
gerektirim	noun	0.011
geren	noun	0.381
gerets	noun	21.71
gergedan	noun	1.026
gergedangiller	noun	0.003
gergef	noun	0.392
gergi	noun	0.492
gergin	adj	93.154
gergince	adj	0.016
gerginlik	noun	0.112
gerhard	noun	11.632
geri	adv	431.38
geriatri	noun	0.528
gerici	noun	7.969
gericilik	noun	0.008
gerile	verb	150.774
gerileyiş	noun	0.005
gerili	adj	0.014
gerilik	noun	0.68
gerilim	noun	67.069
gerilimli	adj	0.141
gerilimölçer	noun	0.033
geriliş	noun	0.003
gerilla	noun	16.807
gerillacı	noun	0.011
gerin	verb	1.42
geriş	noun	0.024
geriz	noun	0.038
german	noun	2.922
germanist	noun	0.014
germanistik	noun	0.046
germanyum	noun	0.22
germen	noun	1.116
germencik	noun	0.656
gerze	noun	0.901
gerzek	adj	0.547
gestalt	noun	0.307
gestapo	noun	0.803
getir	verb	1686.852
getiri	noun	49.079
getirim	noun	0.095
getiriş	noun	0.024
getr	noun	0.06
getto	noun	2.239
gev	verb	0.686
gevaş	noun	1.11
gevele	verb	1.875
geven	noun	0.59
geveze	adj	2.729
gevezelen	verb	0.005
gevezelik	noun	0.136
gevher	noun	0.452
gevheri	noun	0.049
gevre	verb	0.15
gevrek	adj	2.299
gevrekçi	noun	0.016
gevşe	verb	22.706
gevşek	adj	4.435
gevşeklik	noun	0.12
geyik	noun	16.214
geyikgiller	noun	0.003
geylani	noun	1.287
geyşa	noun	3.88
geyşalık	noun	0.12
geyve	noun	1.088
gez	verb	130.89
gezegen	noun	35.54
gezeğen	adj	0.003
gezele	verb	0.003
gezenay	noun	0.005
gezenti	adj	0.049
gezer	noun	0.944
gezgin	noun	8.946
gezginci	adj	0.25
gezginer	noun	0.005
gezginlik	noun	0.008
gezi	noun	93.078
gezici	adj	5.346
gezimcilik	noun	0.008
gezin	verb	12.5
gezinti	noun	6.715
geziş	noun	0.008
gezle	verb	0.003
gezmen	adj	0.329
gezmiş	noun	1.072
gıcık	noun	4.411
gıcıkla	verb	0.522
gıcır	noun	0.8
gıcırda	verb	1.246
gıcırtı	noun	0.541
gıda	noun	141.469
gıdakla	verb	0.12
gıdık	noun	0.354
gıdıkla	verb	1.475
gıdım	noun	0.702
gıgı	noun	0.014
gık	noun	1.662
gılgamış	noun	0.988
gıllıgış	noun	0.076
gına	noun	1.477
gıpta	noun	3.358
gır	adj	0.688
gırgır	noun	2.824
gırgırla	verb	0.005
gırla	adv	0.03
gırnata	noun	0.076
gırt	noun	0.005
gırtla	verb	0.003
gırtlak	noun	5.975
gırtlakla	verb	0.09
gırtlaklaş	verb	0.016
gıyaben	adv	0.558
gıyabında	adv	0.011
gıyabi	adj	7.915
gıyap	noun	1.741
gıyas	noun	0.06
gıyasettin	noun	0.479
gıyasi	noun	0.014
gıybet	noun	0.865
gıybetçi	noun	0.016
gıygıy	noun	0.201
gibi	postp	3110.972
gibilerden	adv	0.58
gibisi	adj	0.501
gibisinden	adv	0.011
gibson	noun	3.167
gideğen	noun	0.076
gider	verb	151.294
giderayak	adv	1.461
giderici	adj	0.28
gidi	adj	18.69
gidici	adj	0.057
gidimli	adj	0.016
gidiş	noun	0.25
gidişat	noun	19.234
gidon	noun	0.264
gilaburu	noun	0.044
gine	noun	3.54
gineli	noun	0.141
ginseng	noun	5.521
gir	verb	1727.477
giranbaha	adj	0.003
giray	noun	3.877
girayer	noun	0.008
girayhan	noun	0.073
girdap	noun	3.785
girdi	noun	14.015
giren	noun	1.347
girenle	verb	0.008
giresun	noun	15.231
girgin	noun	0.993
girginer	noun	0.133
girginkoç	noun	0.024
girginlik	noun	0.005
girift	adj	0.999
giriftar	adj	0.06
giriftzen	noun	0.011
girik	noun	2.432
giriliş	noun	0.003
girim	noun	0.163
girinti	noun	1.388
girintili	adj	0.03
giriş	verb	44.717
girişik	adj	0.011
girişim	noun	237.172
girişimci	noun	2.683
girişimcilik	noun	0.044
girişimsel	adj	0.604
girişken	adj	1.562
girişkenlik	noun	0.071
girit	noun	7.684
giritli	noun	0.37
girizan	noun	0.014
girizgah	noun	0.985
girne	noun	3.806
gişe	noun	24.142
git	verb	2008.385
gitar	noun	23.394
gitarcı	noun	0.112
gitarist	noun	5.295
gitgide	adv	8.522
gittikçe	adv	24.76
giy	verb	188.077
giydirici	noun	0.005
giydiriş	noun	0.003
giyecek	noun	9.303
giyim	noun	66.89
giyimev	noun	0.011
giyimli	adj	0.008
giyin	verb	22.031
giyinik	adj	0.509
giyiniş	noun	0.03
giyiş	noun	0.008
giyit	noun	0.024
giyotin	noun	1.173
giysi	noun	38.108
giz	noun	3.347
gizay	noun	0.019
gizem	noun	38.938
gizemci	noun	0.359
gizemli	adj	0.014
gizemsel	adj	0.016
gizer	noun	0.182
gizil	adj	0.517
gizle	verb	48.627
gizleniş	noun	0.003
gizli	adj	187.28
gizlice	adv	1.26
gizlicilik	noun	0.016
gizlilik	noun	0.005
gizmen	noun	0.027
gladyatör	noun	3.668
gladyatörlük	noun	0.003
glase	adj	0.019
glasnost	noun	0.269
glasyoloji	noun	0.005
glayöl	noun	0.098
glikojen	noun	0.288
glikol	noun	0.141
glikoz	noun	2.887
glikozit	noun	0.133
glikozüri	noun	0.003
gliserin	noun	0.841
global	adj	61.1
globulin	noun	0.299
glokom	noun	1.76
glokoni	noun	0.003
glüten	noun	0.073
gnays	noun	0.005
goblen	adj	0.128
gocuk	noun	0.117
gocuklu	adj	0.003
gocun	verb	2.528
godoş	noun	0.033
gofret	noun	1.32
gol	noun	524.926
golcü	noun	0.838
golcülük	noun	0.011
goldman	noun	2.8
golf	noun	34.808
golfçü	noun	0.773
golfstrim	noun	0.027
gollü	adj	0.008
gollük	adj	0.041
gomalak	noun	0.103
gonca	noun	3.611
goncagül	noun	0.871
gonce	noun	0.03
gondol	noun	1.812
gondolcu	noun	0.065
gonk	noun	0.229
gonokok	noun	0.027
gonzales	noun	2.228
gonzalez	noun	3.458
goodyear	noun	1.23
gorbaçov	noun	2.092
gore	noun	13.871
goril	noun	1.692
goşist	adj	0.03
goşizm	noun	0.003
gotik	adj	1.279
gotlar	noun	0.158
goygoycu	noun	0.139
goygoyculuk	noun	0.008
göbek	noun	30.071
göbeklen	verb	0.044
göbekli	adj	0.044
göbeksiz	adj	0.005
göbel	noun	0.226
göbelek	noun	0.71
göbelez	noun	0.003
göbüt	noun	0.057
göce	noun	0.027
göcek	noun	4.226
göcen	noun	0.046
göç	noun	75.18
göçebe	noun	2.413
göçebelik	noun	0.033
göçen	noun	0.416
göçer	noun	2.841
göçeri	adj	0.09
göçerkonar	adj	0.014
göçkün	adj	0.005
göçmen	noun	47.049
göçmenlik	noun	0.316
göçü	noun	2.228
göçücü	adj	0.014
göçük	noun	3.543
göçüm	noun	0.079
göçür	verb	0.103
göçürücü	noun	0.005
göçüş	noun	0.003
göçüşme	noun	0.024
göden	noun	0.147
göğem	noun	0.011
göğen	noun	0.052
göğünç	noun	0.014
göğüs	noun	61.562
göğüsle	verb	8.296
göğüslü	adj	0.057
göğüslük	noun	0.008
göğüş	noun	1.235
gök	noun	40.155
gökalp	noun	16.872
gökay	noun	2.019
gökaydın	noun	0.024
gökbaran	noun	0.005
gökbay	noun	0.005
gökbayrak	noun	0.125
gökbel	noun	0.12
gökbelen	noun	0.022
gökben	noun	0.283
gökberk	noun	1.012
gökbey	noun	0.052
gökbora	noun	0.011
gökbörü	noun	0.027
gökbudak	noun	0.095
gökbulut	noun	1.165
gökcan	noun	0.133
gökcen	noun	0.256
gökçe	noun	36.966
gökçeada	noun	3.398
gökçebağ	noun	0.125
gökçebel	noun	0.038
gökçebey	noun	0.248
gökçeer	noun	0.022
gökçegöz	noun	0.005
gökçek	noun	13.694
gökçel	noun	0.141
gökçem	noun	0.079
gökçen	noun	7.999
gökçer	noun	2.03
gökçesu	noun	0.133
gökçetin	noun	0.065
gökçil	noun	0.003
gökçin	noun	0.193
gökçül	noun	0.033
gökçün	noun	0.003
gökdal	noun	0.008
gökdelen	noun	8.554
gökdemir	noun	1.162
gökdeniz	noun	19.139
gökdoğan	noun	0.133
gökduman	noun	0.095
gökel	noun	0.014
göken	noun	0.014
göker	noun	1.635
gökev	noun	0.033
gökgöl	noun	0.258
gökhan	noun	68.865
gökhun	noun	0.049
gökkaya	noun	0.552
gökkuş	noun	0.035
gökkuşak	noun	5.004
gökkuzgun	noun	0.117
gökkuzgunlar	noun	0.008
gökmen	adj	3.592
gökmenalp	noun	0.005
gökmener	noun	0.024
göknel	noun	0.726
göknil	noun	0.533
göknur	noun	0.15
gökoğlu	noun	0.395
gökova	noun	3.241
göksal	noun	0.65
göksan	noun	0.476
göksay	noun	0.024
göksel	noun	6.111
gökselen	noun	0.008
göksen	noun	0.596
göksenin	noun	0.054
gökser	noun	0.008
göksev	noun	0.019
gökseven	noun	0.193
göksever	noun	0.024
göksoy	noun	0.765
göksu	noun	9.49
göksun	noun	0.982
gökşen	noun	4.555
gökşin	adj	0.354
göktan	noun	2.155
göktaş	noun	6.065
göktay	noun	0.392
gökten	noun	0.528
göktepe	noun	2.685
göktırmalayan	noun	0.003
göktuğ	noun	0.762
göktulga	noun	0.014
göktuna	noun	0.082
göktunç	noun	0.008
göktürk	noun	5.67
göktürkçe	noun	0.09
gökyay	noun	0.313
gökyiğit	noun	1.045
gökyüz	noun	35.619
göl	noun	73.088
gölala	noun	0.008
gölbaş	noun	1.48
gölbaşı	noun	2.797
gölcük	noun	10.157
gölcüklü	noun	0.212
göle	noun	1.154
gölek	noun	0.033
göler	verb	0.033
gölet	noun	5.532
gölge	noun	62.819
gölgele	verb	8.266
gölgelen	verb	0.424
gölgeli	adj	0.016
gölgelik	noun	0.095
gölgesiz	adj	0.003
gölhan	noun	0.468
gölköy	noun	0.778
gölle	verb	0.37
göllük	adj	0.003
gölük	noun	0.03
göm	verb	42.709
gömeç	noun	0.463
gömgök	adj	0.016
gömlek	noun	26.591
gömlekçi	noun	0.049
gömlekli	adj	0.084
gömlekliler	noun	0.014
gömleksiz	adj	0.005
gömme	adj	0.501
gömü	noun	4.44
gömük	adj	0.125
gömüle	verb	0.335
gömülü	adj	0.669
gömüş	noun	0.005
gömüt	noun	0.161
gömütlük	noun	0.014
gön	noun	4.397
göncü	noun	0.269
gönç	noun	0.185
göndem	noun	0.06
gönder	verb	646.328
gönderge	noun	0.035
gönderi	noun	2.911
gönderici	noun	0.642
gönderiliş	noun	0.008
gönderim	noun	3.368
gönderiş	noun	0.003
gönderli	adj	0.005
gönen	noun	6.051
gönenç	noun	1.728
gönençli	adj	0.005
gönener	noun	0.005
gönlünce	adv	1.363
gönül	noun	143.479
gönülay	noun	0.049
gönüldaş	noun	0.286
